Rule ID,Resource ID,Compliance,Exception Reason,Rule Level,Rule Info
"AwsSolutions-EC23","AgentkeelBootstrap/Vpc/EndpointBedrockRuntime/SecurityGroup/Resource","Suppressed","SPEC/01 §6: 'a VPC with no internet gateway, endpoints with policies scoped to the account'. AwsSolutions-EC23 cannot resolve this rule: the source is the VPC's own CIDR, an intrinsic function at synth. The rule allows 443 from inside this VPC and nothing else, and the VPC has no way out.","Error","The Security Group allows for 0.0.0.0/0 or ::/0 inbound access."
"AwsSolutions-EC27","AgentkeelBootstrap/Vpc/EndpointBedrockRuntime/SecurityGroup/Resource","Compliant","N/A","Error","The Security Group does not have a description."
"AwsSolutions-EC23","AgentkeelBootstrap/Vpc/EndpointKms/SecurityGroup/Resource","Suppressed","SPEC/01 §6: 'a VPC with no internet gateway, endpoints with policies scoped to the account'. AwsSolutions-EC23 cannot resolve this rule: the source is the VPC's own CIDR, an intrinsic function at synth. The rule allows 443 from inside this VPC and nothing else, and the VPC has no way out.","Error","The Security Group allows for 0.0.0.0/0 or ::/0 inbound access."
"AwsSolutions-EC27","AgentkeelBootstrap/Vpc/EndpointKms/SecurityGroup/Resource","Compliant","N/A","Error","The Security Group does not have a description."
"AwsSolutions-EC23","AgentkeelBootstrap/Vpc/EndpointLogs/SecurityGroup/Resource","Suppressed","SPEC/01 §6: 'a VPC with no internet gateway, endpoints with policies scoped to the account'. AwsSolutions-EC23 cannot resolve this rule: the source is the VPC's own CIDR, an intrinsic function at synth. The rule allows 443 from inside this VPC and nothing else, and the VPC has no way out.","Error","The Security Group allows for 0.0.0.0/0 or ::/0 inbound access."
"AwsSolutions-EC27","AgentkeelBootstrap/Vpc/EndpointLogs/SecurityGroup/Resource","Compliant","N/A","Error","The Security Group does not have a description."
"AwsSolutions-IAM4","AgentkeelBootstrap/ExecutionRole/Resource","Compliant","N/A","Error","The IAM user, role, or group uses AWS managed policies."
"AwsSolutions-IAM5","AgentkeelBootstrap/ExecutionRole/Resource","Compliant","N/A","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","AgentkeelBootstrap/ExecutionRole/DefaultPolicy/Resource","Suppressed","SPEC/01 §6: 'the CloudFormation execution role the deploy passes, which carries the boundary and may create a role only with the boundary attached'. iam:CreateRole is scoped to /agentkeel/agents/ and conditioned on iam:PermissionsBoundary; the wildcard is in the Deny. It is half of what seed S4 reads: the laptop cannot reach CloudFormation, and CloudFormation cannot exceed this. BLOCK F's grants are what GovernedAgent renders, one statement per resource type: security-group/* is conditioned on ec2:Vpc being this stack's VPC; runtime/*, application-inference-profile/* and the agent role path name resources whose ids AWS assigns at create; ec2:Describe* takes no resource-level permission; security-group-rule/* and the AWS-owned prefix-list/* are the egress rule's own resources, whose group is still held to ec2:Vpc; the five vpc-lattice actions are the Runtime create handler's VPC-mode calls, which name no resource in advance. The action lists are CloudFormation's published handler permissions (describe-type). A ceiling, not a grant: a Deny must cover every resource, including ones that do not exist yet, or a later attach slips past it.","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","AgentkeelBootstrap/ExecutionRole/DefaultPolicy/Resource","Suppressed","SPEC/01 §6: 'the CloudFormation execution role the deploy passes, which carries the boundary and may create a role only with the boundary attached'. iam:CreateRole is scoped to /agentkeel/agents/ and conditioned on iam:PermissionsBoundary; the wildcard is in the Deny. It is half of what seed S4 reads: the laptop cannot reach CloudFormation, and CloudFormation cannot exceed this. BLOCK F's grants are what GovernedAgent renders, one statement per resource type: security-group/* is conditioned on ec2:Vpc being this stack's VPC; runtime/*, application-inference-profile/* and the agent role path name resources whose ids AWS assigns at create; ec2:Describe* takes no resource-level permission; security-group-rule/* and the AWS-owned prefix-list/* are the egress rule's own resources, whose group is still held to ec2:Vpc; the five vpc-lattice actions are the Runtime create handler's VPC-mode calls, which name no resource in advance. The action lists are CloudFormation's published handler permissions (describe-type). A ceiling, not a grant: a Deny must cover every resource, including ones that do not exist yet, or a later attach slips past it.","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","AgentkeelBootstrap/ExecutionRole/DefaultPolicy/Resource","Suppressed","SPEC/01 §6: 'the CloudFormation execution role the deploy passes, which carries the boundary and may create a role only with the boundary attached'. iam:CreateRole is scoped to /agentkeel/agents/ and conditioned on iam:PermissionsBoundary; the wildcard is in the Deny. It is half of what seed S4 reads: the laptop cannot reach CloudFormation, and CloudFormation cannot exceed this. BLOCK F's grants are what GovernedAgent renders, one statement per resource type: security-group/* is conditioned on ec2:Vpc being this stack's VPC; runtime/*, application-inference-profile/* and the agent role path name resources whose ids AWS assigns at create; ec2:Describe* takes no resource-level permission; security-group-rule/* and the AWS-owned prefix-list/* are the egress rule's own resources, whose group is still held to ec2:Vpc; the five vpc-lattice actions are the Runtime create handler's VPC-mode calls, which name no resource in advance. The action lists are CloudFormation's published handler permissions (describe-type). A ceiling, not a grant: a Deny must cover every resource, including ones that do not exist yet, or a later attach slips past it.","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","AgentkeelBootstrap/ExecutionRole/DefaultPolicy/Resource","Suppressed","SPEC/01 §6: 'the CloudFormation execution role the deploy passes, which carries the boundary and may create a role only with the boundary attached'. iam:CreateRole is scoped to /agentkeel/agents/ and conditioned on iam:PermissionsBoundary; the wildcard is in the Deny. It is half of what seed S4 reads: the laptop cannot reach CloudFormation, and CloudFormation cannot exceed this. BLOCK F's grants are what GovernedAgent renders, one statement per resource type: security-group/* is conditioned on ec2:Vpc being this stack's VPC; runtime/*, application-inference-profile/* and the agent role path name resources whose ids AWS assigns at create; ec2:Describe* takes no resource-level permission; security-group-rule/* and the AWS-owned prefix-list/* are the egress rule's own resources, whose group is still held to ec2:Vpc; the five vpc-lattice actions are the Runtime create handler's VPC-mode calls, which name no resource in advance. The action lists are CloudFormation's published handler permissions (describe-type). A ceiling, not a grant: a Deny must cover every resource, including ones that do not exist yet, or a later attach slips past it.","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","AgentkeelBootstrap/ExecutionRole/DefaultPolicy/Resource","Suppressed","SPEC/01 §6: 'the CloudFormation execution role the deploy passes, which carries the boundary and may create a role only with the boundary attached'. iam:CreateRole is scoped to /agentkeel/agents/ and conditioned on iam:PermissionsBoundary; the wildcard is in the Deny. It is half of what seed S4 reads: the laptop cannot reach CloudFormation, and CloudFormation cannot exceed this. BLOCK F's grants are what GovernedAgent renders, one statement per resource type: security-group/* is conditioned on ec2:Vpc being this stack's VPC; runtime/*, application-inference-profile/* and the agent role path name resources whose ids AWS assigns at create; ec2:Describe* takes no resource-level permission; security-group-rule/* and the AWS-owned prefix-list/* are the egress rule's own resources, whose group is still held to ec2:Vpc; the five vpc-lattice actions are the Runtime create handler's VPC-mode calls, which name no resource in advance. The action lists are CloudFormation's published handler permissions (describe-type). A ceiling, not a grant: a Deny must cover every resource, including ones that do not exist yet, or a later attach slips past it.","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","AgentkeelBootstrap/ExecutionRole/DefaultPolicy/Resource","Suppressed","SPEC/01 §6: 'the CloudFormation execution role the deploy passes, which carries the boundary and may create a role only with the boundary attached'. iam:CreateRole is scoped to /agentkeel/agents/ and conditioned on iam:PermissionsBoundary; the wildcard is in the Deny. It is half of what seed S4 reads: the laptop cannot reach CloudFormation, and CloudFormation cannot exceed this. BLOCK F's grants are what GovernedAgent renders, one statement per resource type: security-group/* is conditioned on ec2:Vpc being this stack's VPC; runtime/*, application-inference-profile/* and the agent role path name resources whose ids AWS assigns at create; ec2:Describe* takes no resource-level permission; security-group-rule/* and the AWS-owned prefix-list/* are the egress rule's own resources, whose group is still held to ec2:Vpc; the five vpc-lattice actions are the Runtime create handler's VPC-mode calls, which name no resource in advance. The action lists are CloudFormation's published handler permissions (describe-type). A ceiling, not a grant: a Deny must cover every resource, including ones that do not exist yet, or a later attach slips past it.","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","AgentkeelBootstrap/ExecutionRole/DefaultPolicy/Resource","Suppressed","SPEC/01 §6: 'the CloudFormation execution role the deploy passes, which carries the boundary and may create a role only with the boundary attached'. iam:CreateRole is scoped to /agentkeel/agents/ and conditioned on iam:PermissionsBoundary; the wildcard is in the Deny. It is half of what seed S4 reads: the laptop cannot reach CloudFormation, and CloudFormation cannot exceed this. BLOCK F's grants are what GovernedAgent renders, one statement per resource type: security-group/* is conditioned on ec2:Vpc being this stack's VPC; runtime/*, application-inference-profile/* and the agent role path name resources whose ids AWS assigns at create; ec2:Describe* takes no resource-level permission; security-group-rule/* and the AWS-owned prefix-list/* are the egress rule's own resources, whose group is still held to ec2:Vpc; the five vpc-lattice actions are the Runtime create handler's VPC-mode calls, which name no resource in advance. The action lists are CloudFormation's published handler permissions (describe-type). A ceiling, not a grant: a Deny must cover every resource, including ones that do not exist yet, or a later attach slips past it.","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","AgentkeelBootstrap/ExecutionRole/DefaultPolicy/Resource","Suppressed","SPEC/01 §6: 'the CloudFormation execution role the deploy passes, which carries the boundary and may create a role only with the boundary attached'. iam:CreateRole is scoped to /agentkeel/agents/ and conditioned on iam:PermissionsBoundary; the wildcard is in the Deny. It is half of what seed S4 reads: the laptop cannot reach CloudFormation, and CloudFormation cannot exceed this. BLOCK F's grants are what GovernedAgent renders, one statement per resource type: security-group/* is conditioned on ec2:Vpc being this stack's VPC; runtime/*, application-inference-profile/* and the agent role path name resources whose ids AWS assigns at create; ec2:Describe* takes no resource-level permission; security-group-rule/* and the AWS-owned prefix-list/* are the egress rule's own resources, whose group is still held to ec2:Vpc; the five vpc-lattice actions are the Runtime create handler's VPC-mode calls, which name no resource in advance. The action lists are CloudFormation's published handler permissions (describe-type). A ceiling, not a grant: a Deny must cover every resource, including ones that do not exist yet, or a later attach slips past it.","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","AgentkeelBootstrap/ExecutionRole/DefaultPolicy/Resource","Suppressed","SPEC/01 §6: 'the CloudFormation execution role the deploy passes, which carries the boundary and may create a role only with the boundary attached'. iam:CreateRole is scoped to /agentkeel/agents/ and conditioned on iam:PermissionsBoundary; the wildcard is in the Deny. It is half of what seed S4 reads: the laptop cannot reach CloudFormation, and CloudFormation cannot exceed this. BLOCK F's grants are what GovernedAgent renders, one statement per resource type: security-group/* is conditioned on ec2:Vpc being this stack's VPC; runtime/*, application-inference-profile/* and the agent role path name resources whose ids AWS assigns at create; ec2:Describe* takes no resource-level permission; security-group-rule/* and the AWS-owned prefix-list/* are the egress rule's own resources, whose group is still held to ec2:Vpc; the five vpc-lattice actions are the Runtime create handler's VPC-mode calls, which name no resource in advance. The action lists are CloudFormation's published handler permissions (describe-type). A ceiling, not a grant: a Deny must cover every resource, including ones that do not exist yet, or a later attach slips past it.","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","AgentkeelBootstrap/ExecutionRole/DefaultPolicy/Resource","Suppressed","SPEC/01 §6: 'the CloudFormation execution role the deploy passes, which carries the boundary and may create a role only with the boundary attached'. iam:CreateRole is scoped to /agentkeel/agents/ and conditioned on iam:PermissionsBoundary; the wildcard is in the Deny. It is half of what seed S4 reads: the laptop cannot reach CloudFormation, and CloudFormation cannot exceed this. BLOCK F's grants are what GovernedAgent renders, one statement per resource type: security-group/* is conditioned on ec2:Vpc being this stack's VPC; runtime/*, application-inference-profile/* and the agent role path name resources whose ids AWS assigns at create; ec2:Describe* takes no resource-level permission; security-group-rule/* and the AWS-owned prefix-list/* are the egress rule's own resources, whose group is still held to ec2:Vpc; the five vpc-lattice actions are the Runtime create handler's VPC-mode calls, which name no resource in advance. The action lists are CloudFormation's published handler permissions (describe-type). A ceiling, not a grant: a Deny must cover every resource, including ones that do not exist yet, or a later attach slips past it.","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","AgentkeelBootstrap/ExecutionRole/DefaultPolicy/Resource","Suppressed","SPEC/01 §6: 'the CloudFormation execution role the deploy passes, which carries the boundary and may create a role only with the boundary attached'. iam:CreateRole is scoped to /agentkeel/agents/ and conditioned on iam:PermissionsBoundary; the wildcard is in the Deny. It is half of what seed S4 reads: the laptop cannot reach CloudFormation, and CloudFormation cannot exceed this. BLOCK F's grants are what GovernedAgent renders, one statement per resource type: security-group/* is conditioned on ec2:Vpc being this stack's VPC; runtime/*, application-inference-profile/* and the agent role path name resources whose ids AWS assigns at create; ec2:Describe* takes no resource-level permission; security-group-rule/* and the AWS-owned prefix-list/* are the egress rule's own resources, whose group is still held to ec2:Vpc; the five vpc-lattice actions are the Runtime create handler's VPC-mode calls, which name no resource in advance. The action lists are CloudFormation's published handler permissions (describe-type). A ceiling, not a grant: a Deny must cover every resource, including ones that do not exist yet, or a later attach slips past it.","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","AgentkeelBootstrap/ExecutionRole/DefaultPolicy/Resource","Suppressed","SPEC/01 §6: 'the CloudFormation execution role the deploy passes, which carries the boundary and may create a role only with the boundary attached'. iam:CreateRole is scoped to /agentkeel/agents/ and conditioned on iam:PermissionsBoundary; the wildcard is in the Deny. It is half of what seed S4 reads: the laptop cannot reach CloudFormation, and CloudFormation cannot exceed this. BLOCK F's grants are what GovernedAgent renders, one statement per resource type: security-group/* is conditioned on ec2:Vpc being this stack's VPC; runtime/*, application-inference-profile/* and the agent role path name resources whose ids AWS assigns at create; ec2:Describe* takes no resource-level permission; security-group-rule/* and the AWS-owned prefix-list/* are the egress rule's own resources, whose group is still held to ec2:Vpc; the five vpc-lattice actions are the Runtime create handler's VPC-mode calls, which name no resource in advance. The action lists are CloudFormation's published handler permissions (describe-type). A ceiling, not a grant: a Deny must cover every resource, including ones that do not exist yet, or a later attach slips past it.","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","AgentkeelBootstrap/ExecutionRole/DefaultPolicy/Resource","Suppressed","SPEC/01 §6: 'the CloudFormation execution role the deploy passes, which carries the boundary and may create a role only with the boundary attached'. iam:CreateRole is scoped to /agentkeel/agents/ and conditioned on iam:PermissionsBoundary; the wildcard is in the Deny. It is half of what seed S4 reads: the laptop cannot reach CloudFormation, and CloudFormation cannot exceed this. BLOCK F's grants are what GovernedAgent renders, one statement per resource type: security-group/* is conditioned on ec2:Vpc being this stack's VPC; runtime/*, application-inference-profile/* and the agent role path name resources whose ids AWS assigns at create; ec2:Describe* takes no resource-level permission; security-group-rule/* and the AWS-owned prefix-list/* are the egress rule's own resources, whose group is still held to ec2:Vpc; the five vpc-lattice actions are the Runtime create handler's VPC-mode calls, which name no resource in advance. The action lists are CloudFormation's published handler permissions (describe-type). A ceiling, not a grant: a Deny must cover every resource, including ones that do not exist yet, or a later attach slips past it.","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM4","AgentkeelBootstrap/DeployRole/Resource","Compliant","N/A","Error","The IAM user, role, or group uses AWS managed policies."
"AwsSolutions-IAM5","AgentkeelBootstrap/DeployRole/Resource","Compliant","N/A","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","AgentkeelBootstrap/DeployRole/DefaultPolicy/Resource","Suppressed","SPEC/01 §6: 'the deploy role, trusted with StringEquals on aud, the immutable sub for refs/heads/main, and job_workflow_ref'. Seed S4 is an attempt to do from a laptop what only this role may do. cloudformation:* is scoped to stack/agentkeel-*, the set of stacks this platform deploys; AWS appends the stack id suffix, which cannot be named in advance. BLOCK F: ecr:GetAuthorizationToken takes no resource; the push is on repository/agentkeel-*, the table load on table/agentkeel-*-rights, and the load check's InvokeAgentRuntime on runtime/refagent*, the versioned name AgentCore assigns at create.","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","AgentkeelBootstrap/DeployRole/DefaultPolicy/Resource","Suppressed","SPEC/01 §6: 'the deploy role, trusted with StringEquals on aud, the immutable sub for refs/heads/main, and job_workflow_ref'. Seed S4 is an attempt to do from a laptop what only this role may do. cloudformation:* is scoped to stack/agentkeel-*, the set of stacks this platform deploys; AWS appends the stack id suffix, which cannot be named in advance. BLOCK F: ecr:GetAuthorizationToken takes no resource; the push is on repository/agentkeel-*, the table load on table/agentkeel-*-rights, and the load check's InvokeAgentRuntime on runtime/refagent*, the versioned name AgentCore assigns at create.","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","AgentkeelBootstrap/DeployRole/DefaultPolicy/Resource","Suppressed","SPEC/01 §6: 'the deploy role, trusted with StringEquals on aud, the immutable sub for refs/heads/main, and job_workflow_ref'. Seed S4 is an attempt to do from a laptop what only this role may do. cloudformation:* is scoped to stack/agentkeel-*, the set of stacks this platform deploys; AWS appends the stack id suffix, which cannot be named in advance. BLOCK F: ecr:GetAuthorizationToken takes no resource; the push is on repository/agentkeel-*, the table load on table/agentkeel-*-rights, and the load check's InvokeAgentRuntime on runtime/refagent*, the versioned name AgentCore assigns at create.","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","AgentkeelBootstrap/DeployRole/DefaultPolicy/Resource","Suppressed","SPEC/01 §6: 'the deploy role, trusted with StringEquals on aud, the immutable sub for refs/heads/main, and job_workflow_ref'. Seed S4 is an attempt to do from a laptop what only this role may do. cloudformation:* is scoped to stack/agentkeel-*, the set of stacks this platform deploys; AWS appends the stack id suffix, which cannot be named in advance. BLOCK F: ecr:GetAuthorizationToken takes no resource; the push is on repository/agentkeel-*, the table load on table/agentkeel-*-rights, and the load check's InvokeAgentRuntime on runtime/refagent*, the versioned name AgentCore assigns at create.","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","AgentkeelBootstrap/DeployRole/DefaultPolicy/Resource","Suppressed","SPEC/01 §6: 'the deploy role, trusted with StringEquals on aud, the immutable sub for refs/heads/main, and job_workflow_ref'. Seed S4 is an attempt to do from a laptop what only this role may do. cloudformation:* is scoped to stack/agentkeel-*, the set of stacks this platform deploys; AWS appends the stack id suffix, which cannot be named in advance. BLOCK F: ecr:GetAuthorizationToken takes no resource; the push is on repository/agentkeel-*, the table load on table/agentkeel-*-rights, and the load check's InvokeAgentRuntime on runtime/refagent*, the versioned name AgentCore assigns at create.","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","AgentkeelBootstrap/DeployRole/DefaultPolicy/Resource","Suppressed","SPEC/01 §6: 'the deploy role, trusted with StringEquals on aud, the immutable sub for refs/heads/main, and job_workflow_ref'. Seed S4 is an attempt to do from a laptop what only this role may do. cloudformation:* is scoped to stack/agentkeel-*, the set of stacks this platform deploys; AWS appends the stack id suffix, which cannot be named in advance. BLOCK F: ecr:GetAuthorizationToken takes no resource; the push is on repository/agentkeel-*, the table load on table/agentkeel-*-rights, and the load check's InvokeAgentRuntime on runtime/refagent*, the versioned name AgentCore assigns at create.","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM4","AgentkeelBootstrap/DeveloperRole/Resource","Compliant","N/A","Error","The IAM user, role, or group uses AWS managed policies."
"AwsSolutions-IAM5","AgentkeelBootstrap/DeveloperRole/Resource","Compliant","N/A","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","AgentkeelBootstrap/DeveloperRole/DefaultPolicy/Resource","Suppressed","SPEC/01 §6: 'the developer role (§1), boundary on'. This is seed S4's principal. The Allow is read-only describe and list; the wildcard is in the Deny that refuses the deploy. A ceiling, not a grant: a Deny must cover every resource, including ones that do not exist yet, or a later attach slips past it.","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","AgentkeelBootstrap/DeveloperRole/DefaultPolicy/Resource","Suppressed","SPEC/01 §6: 'the developer role (§1), boundary on'. This is seed S4's principal. The Allow is read-only describe and list; the wildcard is in the Deny that refuses the deploy. A ceiling, not a grant: a Deny must cover every resource, including ones that do not exist yet, or a later attach slips past it.","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","AgentkeelBootstrap/DeveloperRole/DefaultPolicy/Resource","Suppressed","SPEC/01 §6: 'the developer role (§1), boundary on'. This is seed S4's principal. The Allow is read-only describe and list; the wildcard is in the Deny that refuses the deploy. A ceiling, not a grant: a Deny must cover every resource, including ones that do not exist yet, or a later attach slips past it.","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","AgentkeelBootstrap/DeveloperRole/DefaultPolicy/Resource","Suppressed","SPEC/01 §6: 'the developer role (§1), boundary on'. This is seed S4's principal. The Allow is read-only describe and list; the wildcard is in the Deny that refuses the deploy. A ceiling, not a grant: a Deny must cover every resource, including ones that do not exist yet, or a later attach slips past it.","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","AgentkeelBootstrap/DeveloperRole/DefaultPolicy/Resource","Suppressed","SPEC/01 §6: 'the developer role (§1), boundary on'. This is seed S4's principal. The Allow is read-only describe and list; the wildcard is in the Deny that refuses the deploy. A ceiling, not a grant: a Deny must cover every resource, including ones that do not exist yet, or a later attach slips past it.","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM4","AgentkeelBootstrap/EvalRole/Resource","Compliant","N/A","Error","The IAM user, role, or group uses AWS managed policies."
"AwsSolutions-IAM5","AgentkeelBootstrap/EvalRole/Resource","Compliant","N/A","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","AgentkeelBootstrap/EvalRole/DefaultPolicy/Resource","Suppressed","SPEC/01 §6: 'the eval role, absorbed from infra/eval-role/ under a new name, with its Deny statement (item 33) and trust conditions as they stand'. The two profiles and the foundation models are named by ARN; runtime/refagent* covers the versioned runtime name AgentCore assigns, which does not exist until the deploy. The five-action Deny is the ceiling. Seeds S4 and S6: cloudtrail:LookupEvents is on * because CloudTrail takes no resource-level condition for it, and ruling i has this role ask CloudTrail whether the human's attempts were refused. It is the only cloudtrail action granted, so the instrument may read the record and may not change it. A ceiling, not a grant: a Deny must cover every resource, including ones that do not exist yet, or a later attach slips past it.","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","AgentkeelBootstrap/EvalRole/DefaultPolicy/Resource","Suppressed","SPEC/01 §6: 'the eval role, absorbed from infra/eval-role/ under a new name, with its Deny statement (item 33) and trust conditions as they stand'. The two profiles and the foundation models are named by ARN; runtime/refagent* covers the versioned runtime name AgentCore assigns, which does not exist until the deploy. The five-action Deny is the ceiling. Seeds S4 and S6: cloudtrail:LookupEvents is on * because CloudTrail takes no resource-level condition for it, and ruling i has this role ask CloudTrail whether the human's attempts were refused. It is the only cloudtrail action granted, so the instrument may read the record and may not change it. A ceiling, not a grant: a Deny must cover every resource, including ones that do not exist yet, or a later attach slips past it.","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-KMS5","AgentkeelBootstrap/RefagentKey/Resource","Compliant","N/A","Error","The KMS Symmetric key does not have automatic key rotation enabled."
"AwsSolutions-IAM5","AgentkeelBootstrap/BudgetStop/Resource","Compliant","N/A","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
